district,monsoon,rain_24h_mm,rain_6h_mm,river_level_m,river_danger_m,soil_moisture_index,elevation_m,slope_deg,humidity_pct,wind_kmh,temp_c,coastal,rain24,rain6,river_ratio,soil,low_elev,flat,humidity,slope,wind,temp,label_flood,label_landslide,label_cyclone,label_rainfall
Vadodara,0,5.4,1.7,2.88,8.0,0.482,39,2,55.0,19.6,30.2,0.0,0.018,0.01194,0.35992,0.48224,0.9025,0.9,0.10097,0.05714,0,0.51169,0,0,0,0
Vadodara,1,7.8,1.3,2.9,8.0,0.585,39,2,79.9,8.3,27.3,0.0,0.02592,0.0092,0.36227,0.58484,0.9025,0.9,0.59719,0.05714,0,0.36318,0,0,0,0
Navsari,0,11.1,1.6,2.38,7.3,0.42,11,1,52.0,18.6,29.8,1.0,0.03701,0.01161,0.3266,0.42012,0.9725,0.95,0.04,0.02857,0,0.49077,0,0,0,0
Rajkot,0,8.8,5.8,2.85,7.2,0.215,134,3,49.0,2.4,32.6,0.0,0.0292,0.04147,0.3958,0.21457,0.665,0.85,0,0.08571,0,0.63114,0,0,0,0
Jamnagar,0,9.7,4.7,2.21,6.5,0.234,20,2,60.4,53.0,26.8,1.0,0.03231,0.03331,0.34054,0.23429,0.95,0.9,0.20762,0.05714,0.41304,0.34184,0,0,0,1
Ahmedabad,0,2.0,0.5,3.44,8.5,0.504,53,2,49.0,8.6,35.1,0.0,0.00664,0.00381,0.40508,0.50426,0.8675,0.9,0,0.05714,0,0.75472,0,0,0,0
Jamnagar,0,10.0,2.5,3.25,6.5,0.286,20,2,45.7,37.5,34.5,1.0,0.03337,0.01817,0.49967,0.28563,0.95,0.9,0,0.05714,0.21854,0.72483,0,0,0,0
Porbandar,1,17.6,7.7,2.66,6.2,0.561,8,1,84.9,10.0,26.8,1.0,0.05877,0.05528,0.4294,0.56113,0.98,0.95,0.69726,0.02857,0,0.3391,0,0,0,0
Porbandar,0,2.4,1.6,3.39,6.2,0.422,8,1,59.3,13.0,33.3,1.0,0.008,0.0117,0.54618,0.42154,0.98,0.95,0.18527,0.02857,0,0.66708,1,0,0,0
Navsari,0,4.9,0.6,3.06,7.3,0.441,11,1,51.0,11.6,33.2,1.0,0.01622,0.00419,0.41937,0.44077,0.9725,0.95,0.01938,0.02857,0,0.66001,0,0,0,0
Navsari,0,7.5,2.1,3.23,7.3,0.564,11,1,58.2,8.3,31.0,1.0,0.02498,0.01522,0.44183,0.56372,0.9725,0.95,0.16337,0.02857,0,0.55239,0,0,0,0
Ahmedabad,1,30.1,24.5,4.63,8.5,0.918,53,2,79.2,15.8,24.0,0.0,0.10047,0.17519,0.54503,0.9182,0.8675,0.9,0.58329,0.05714,0,0.19897,0,0,0,0
Patan,0,0.4,0.3,1.06,6.0,0.083,70,1,50.5,13.2,30.3,0.0,0.00146,0.00197,0.1773,0.08299,0.825,0.95,0.01039,0.02857,0,0.51581,0,0,0,0
Vadodara,1,93.7,52.5,5.82,8.0,0.817,39,2,89.0,37.6,25.7,0.0,0.31225,0.37486,0.7279,0.81706,0.9025,0.9,0.77945,0.05714,0.22035,0.28544,0,0,0,0
Bhuj,0,2.4,0.2,1.78,5.8,0.031,110,4,49.4,12.6,33.3,1.0,0.00792,0.00143,0.3076,0.03127,0.725,0.8,0,0.11429,0,0.66301,0,0,0,0
Ahmedabad,1,88.7,34.2,6.84,8.5,0.832,53,2,83.2,24.7,26.6,0.0,0.29561,0.24434,0.80469,0.8318,0.8675,0.9,0.66468,0.05714,0.05845,0.33095,1,0,0,1
Ahmedabad,1,24.3,9.9,5.3,8.5,0.683,53,2,85.6,25.3,27.9,0.0,0.08094,0.0709,0.62385,0.68292,0.8675,0.9,0.71146,0.05714,0.06577,0.39324,0,0,0,0
Patan,1,28.7,17.8,3.2,6.0,0.521,70,1,76.5,12.9,26.1,0.0,0.0957,0.12735,0.53304,0.52107,0.825,0.95,0.52937,0.02857,0,0.30385,0,0,0,0
Bhavnagar,1,20.8,7.9,3.06,7.4,0.635,24,2,80.4,9.0,28.8,1.0,0.06924,0.0561,0.41306,0.63481,0.94,0.9,0.60807,0.05714,0,0.43885,0,0,0,0
Jamnagar,1,24.5,8.4,3.87,6.5,0.762,20,2,69.3,41.8,27.4,1.0,0.08157,0.05968,0.59571,0.76246,0.95,0.9,0.38539,0.05714,0.27284,0.37212,0,0,0,0
Valsad,1,38.5,1.9,4.77,7.0,0.893,12,2,87.2,3.2,25.2,1.0,0.12832,0.01375,0.68097,0.89329,0.97,0.9,0.74369,0.05714,0,0.25809,0,0,0,0
Dang,0,11.4,8.3,4.39,6.4,0.746,975,27,64.9,5.4,36.3,0.0,0.03808,0.05908,0.68588,0.74596,0,0,0.29836,0.77143,0,0.81584,0,0,0,0
Bhavnagar,1,47.5,16.1,4.85,7.4,0.74,24,2,85.3,2,29.6,1.0,0.15827,0.1153,0.65602,0.73987,0.94,0.9,0.70697,0.05714,0,0.47945,0,0,0,0
Vadodara,0,11.8,4.1,3.3,8.0,0.352,39,2,50.2,17.5,34.3,0.0,0.03929,0.02939,0.41237,0.35169,0.9025,0.9,0.00427,0.05714,0,0.71545,0,0,0,0
Dang,1,24.1,7.9,2.53,6.4,1.0,975,27,88.9,23.3,27.4,0.0,0.08022,0.05643,0.39489,1.0,0,0,0.7771,0.77143,0.04162,0.36868,0,0,0,0
Bhavnagar,1,32.2,18.4,4.41,7.4,0.731,24,2,84.0,9.1,29.2,1.0,0.10737,0.13154,0.59546,0.73074,0.94,0.9,0.68021,0.05714,0,0.4619,1,0,0,0
Navsari,0,21.6,7.7,3.18,7.3,0.477,11,1,58.9,32.0,33.1,1.0,0.07211,0.05492,0.43572,0.47749,0.9725,0.95,0.17784,0.02857,0.14989,0.65449,0,0,1,0
Bhavnagar,1,56.4,18.7,4.73,7.4,0.647,24,2,79.4,13.2,31.0,1.0,0.18814,0.13335,0.6396,0.64689,0.94,0.9,0.58843,0.05714,0,0.55042,0,0,0,0
Vadodara,1,57.6,24.2,6.19,8.0,0.715,39,2,82.7,9.8,25.9,0.0,0.19211,0.17265,0.77376,0.71539,0.9025,0.9,0.65344,0.05714,0,0.29349,0,0,0,0
Ahmedabad,1,45.2,9.1,4.42,8.5,0.755,53,2,79.7,11.5,26.7,0.0,0.15051,0.06518,0.52024,0.75524,0.8675,0.9,0.59394,0.05714,0,0.3347,0,0,0,0
Porbandar,0,15.5,6.4,2.16,6.2,0.39,8,1,51.2,25.6,31.3,1.0,0.05168,0.04592,0.34805,0.39017,0.98,0.95,0.02361,0.02857,0.0696,0.56354,1,0,0,0
Patan,0,3.0,1.7,1.03,6.0,0.177,70,1,54.7,15.8,31.2,0.0,0.00991,0.01243,0.17127,0.17689,0.825,0.95,0.09348,0.02857,0,0.55845,0,0,0,0
Bhavnagar,0,1.0,0.6,3.36,7.4,0.344,24,2,41.4,29.3,34.2,1.0,0.00347,0.00424,0.45458,0.34391,0.94,0.9,0,0.05714,0.11602,0.71171,0,0,0,0
Dang,0,5.4,0.4,2.73,6.4,0.566,975,27,52.7,32.8,31.8,0.0,0.01797,0.00268,0.42597,0.56561,0,0,0.05377,0.77143,0.16012,0.58961,0,0,0,0
Bhuj,1,13.5,4.8,3.05,5.8,0.538,110,4,71.6,9.9,28.1,1.0,0.04486,0.03437,0.52625,0.53753,0.725,0.8,0.43179,0.11429,0,0.40658,0,0,0,0
Bhuj,0,3.8,1.9,2.51,5.8,0.222,110,4,43.1,4.5,35.1,1.0,0.01283,0.01361,0.43358,0.22208,0.725,0.8,0,0.11429,0,0.75304,0,0,0,0
Porbandar,1,26.3,13.4,2.47,6.2,0.696,8,1,77.5,9.2,26.1,1.0,0.08772,0.09563,0.39889,0.696,0.98,0.95,0.55078,0.02857,0,0.3069,0,0,0,0
Ahmedabad,1,64.5,49.7,6.01,8.5,0.73,53,2,84.9,14.7,24.3,0.0,0.21508,0.35478,0.70668,0.73021,0.8675,0.9,0.69824,0.05714,0,0.21513,1,0,0,1
Valsad,0,21.8,8.6,2.74,7.0,0.503,12,2,48.0,4.8,33.1,1.0,0.07278,0.06164,0.39083,0.50349,0.97,0.9,0,0.05714,0,0.65663,0,0,0,0
Navsari,0,22.9,4.3,2.92,7.3,0.539,11,1,53.4,24.4,36.2,1.0,0.0764,0.03085,0.39988,0.53883,0.9725,0.95,0.06786,0.02857,0.05452,0.81225,0,0,0,0
Patan,0,6.1,3.6,1.61,6.0,0.222,70,1,63.9,9.6,31.7,0.0,0.02045,0.0258,0.26876,0.22166,0.825,0.95,0.27825,0.02857,0,0.58583,0,0,0,0
Dang,1,42.7,27.1,4.92,6.4,1.0,975,27,80.6,44.0,26.8,0.0,0.14219,0.19332,0.76845,1.0,0,0,0.61107,0.77143,0.29995,0.34149,0,0,0,0
Dang,0,1.8,1.2,2.52,6.4,0.601,975,27,53.5,44.8,37.0,0.0,0.00598,0.00891,0.39305,0.60132,0,0,0.07018,0.77143,0.30943,0.84974,0,0,0,0
